time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/total_timesteps,time/time_elapsed,train/clip_fraction,train/learning_rate,train/clip_range,train/loss,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/approx_kl,train/value_loss,train/n_updates
2174,-50.363821539999996,56.21,6,98304,45,0.102435302734375,0.0003,0.2,22.610240936279297,-0.0031210301275450547,-1.1293800340034068,0.9655342437326908,0.008184788,19.23528479700908,750
2130,-50.093236020000006,56.65,7,114688,53,0.1104736328125,0.0003,0.2,5.014832973480225,-0.0030751854429581726,-1.1201840168097987,0.9664199277758598,0.00913243,18.375496617611496,760
4753,-49.998517539999995,57.02,1,16384,3,0.0993408203125,0.0003,0.2,4.973323345184326,-0.0026960820996464463,-1.0976292562671006,0.9650492258369923,0.008503178,20.055066778697075,770
2554,-47.50591922,58.48,2,32768,12,0.112860107421875,0.0003,0.2,3.284402847290039,-0.00453799121951306,-1.077610808983445,0.9700483959168196,0.009182751,17.26425141133368,780
2237,-48.233583939999995,57.53,3,49152,21,0.093988037109375,0.0003,0.2,3.1979575157165527,-0.0011331113845699293,-1.074521724344231,0.9592969417572021,0.008130645,23.51923625729978,790
2110,-48.06720965,57.81,4,65536,31,0.111737060546875,0.0003,0.2,5.7910895347595215,-0.004264465596588707,-1.068075443059206,0.979127574712038,0.009343407,12.212008410785348,800
2053,-50.429698630000004,56.17,5,81920,39,0.099285888671875,0.0003,0.2,2.70042085647583,-0.0025033580373928998,-1.0561306396964938,0.9688682518899441,0.008336821,18.52688473109156,810
2016,-47.73243467,58.01,6,98304,48,0.101885986328125,0.0003,0.2,28.280553817749023,-0.002973741859796064,-1.0349712899420411,0.9388687275350094,0.0086688595,36.54655661452561,820
2007,-48.058930929999995,57.88,7,114688,57,0.121051025390625,0.0003,0.2,41.097415924072266,-0.003775917536131601,-1.014843512023799,0.9538899064064026,0.00919416,27.62608513981104,830
4391,-47.93519813999999,57.97,1,16384,3,0.11754150390625,0.0003,0.2,2.380033016204834,-0.002162417969930175,-1.0045603689271956,0.977550558745861,0.009046255,13.55001497217454,840
2690,-48.468315459999985,58.16,2,32768,12,0.104608154296875,0.0003,0.2,9.66221809387207,-0.0024252365922620813,-0.9906161134596914,0.972086176276207,0.008863919,16.95028498098254,850
2353,-47.40944105000001,59.24,3,49152,20,0.094500732421875,0.0003,0.2,3.709597587585449,-0.001970144465121848,-0.9991881683235988,0.9616046473383904,0.008333194,23.61455046320334,860
2192,-47.84937593000001,59.22,4,65536,29,0.1218994140625,0.0003,0.2,5.819356441497803,-0.003240317198833509,-0.994336221460253,0.9810969904065132,0.009346705,11.715000532753766,870
2100,-50.14199137,57.65,5,81920,39,0.097076416015625,0.0003,0.2,19.578767776489258,-0.002067017113586189,-0.9801617690129205,0.9730568658560514,0.008339947,16.95185547573492,880
2039,-47.800087749999996,58.31,6,98304,48,0.097344970703125,0.0003,0.2,29.614803314208984,-0.0015977471597580007,-0.9555641657672822,0.9542913399636745,0.008444696,27.67846131986007,890
2028,-45.187329559999995,60.06,7,114688,56,0.106524658203125,0.0003,0.2,2.289557695388794,-0.0012597397465015092,-0.9471999807283282,0.9752950798720121,0.008593143,15.477972121350467,900
4467,-46.22290287,59.77,1,16384,3,0.09515380859375,0.0003,0.2,2.053502321243286,-0.0013761855079337693,-0.9352358641568571,0.978214293718338,0.008135274,14.004508813843131,910
2723,-45.54762833999999,59.78,2,32768,12,0.099859619140625,0.0003,0.2,8.080666542053223,-0.002665361419076362,-0.9553744370117784,0.9828031491488218,0.0072634513,10.759403715655207,920
2356,-47.242667200000014,58.27,3,49152,20,0.112103271484375,0.0003,0.2,7.257453441619873,-0.004496126854473914,-0.9470156415132805,0.9881834406405687,0.008974947,7.521502104820684,930
2256,-45.3232648,59.84,4,65536,29,0.08277587890625,0.0003,0.2,52.01396179199219,-0.0022674944470963965,-0.9266932368045673,0.9643574804067612,0.0081859315,22.677016778942196,940
2170,-44.684889809999994,60.5,5,81920,37,0.11358642578125,0.0003,0.2,1.7830802202224731,-0.0027813721812890435,-0.9194158621830866,0.9809336047619581,0.00913672,12.407496691821143,950
2115,-46.246771419999995,58.91,6,98304,46,0.09281005859375,0.0003,0.2,2.639958620071411,-0.0025678102739675524,-0.9230537625029683,0.9783636275678873,0.007397224,14.060265345778316,960
2078,-46.176869960000005,59.12,7,114688,55,0.10948486328125,0.0003,0.2,34.29022979736328,-0.0032204773476223634,-0.9016228140797466,0.9446944259107113,0.008479046,34.24246472385712,970
4285,-46.87957240000001,58.12,1,16384,3,0.115179443359375,0.0003,0.2,14.705439567565918,-0.0026904443813691612,-0.9017799481516704,0.9668871760368347,0.009515276,21.35718153482303,980
2639,-44.39256786999999,59.89,2,32768,12,0.1004150390625,0.0003,0.2,22.228565216064453,-0.00186989517251277,-0.8957791066961363,0.9670086316764355,0.0079067955,21.599501343863086,990
2154,-43.73163277999999,60.27,3,49152,22,0.103131103515625,0.0003,0.2,9.633255958557129,-0.0029068684988033055,-0.8801469267811626,0.9730680547654629,0.007360747,17.923011469375343,1000
1938,-43.811981,59.81,4,65536,33,0.105328369140625,0.0003,0.2,1.5750517845153809,-0.0026607704290199765,-0.8666602570796386,0.9766343142837286,0.008653054,15.604021351970733,1010
1847,-43.560444530000005,60.02,5,81920,44,0.08980712890625,0.0003,0.2,3.210888147354126,-0.0015398518147321737,-0.8729131721425801,0.9831081740558147,0.008070616,11.444922216236591,1020
1808,-42.67351380999999,60.14,6,98304,54,0.090850830078125,0.0003,0.2,2.212223529815674,-0.0030388873516130842,-0.8605439064791426,0.9869433883577585,0.0077642454,8.84036303460598,1030
1774,-43.670761729999995,59.58,7,114688,64,0.098687744140625,0.0003,0.2,2.7694754600524902,-0.003027313324764691,-0.8574114896124229,0.9878748413175344,0.008440475,8.112877763155847,1040
3967,-43.075981519999985,59.76,1,16384,4,0.09202880859375,0.0003,0.2,3.084861993789673,-0.0016330807611439012,-0.8438635683385656,0.9752436447888613,0.008455653,17.268221862288193,1050
2307,-42.967659600000005,60.2,2,32768,14,0.09405517578125,0.0003,0.2,33.527687072753906,-0.002140042351129523,-0.8312044255202636,0.9789967592805624,0.007916041,14.515396653860808,1060
2017,-43.7483684,59.98,3,49152,24,0.09783935546875,0.0003,0.2,1.8394533395767212,-0.0022358338753292626,-0.8231635317206383,0.9670083411037922,0.008155358,23.18736909972504,1070
1898,-41.43042579,61.89,4,65536,34,0.0857421875,0.0003,0.2,5.6496686935424805,-0.0009319017319285195,-0.7893109676428139,0.9478654898703098,0.0081859585,36.48046963149682,1080
1831,-41.65281518,61.38,5,81920,44,0.09412841796875,0.0003,0.2,2.8406498432159424,-0.0003054952899219643,-0.7771987501066178,0.9734263271093369,0.008079373,18.963302684156226,1090
1796,-42.60122646999999,60.75,6,98304,54,0.092181396484375,0.0003,0.2,2.890775203704834,-0.001664147683459305,-0.7535854137735442,0.9689472075551748,0.007857311,22.056715449970216,1100
